id|url|title|warranty|regular_price|happy_price|category|image
1|https://www.neptun.mk/categories/gaming_laptopi/ACER-Nitro-5-AN517-54-79HS-17-3--i7-11600H-16GB-512GB-SSD-RTX-3050-4GB|"LAPTOP ACER NITRO 5 AN517-54-79HS 17.3 ""I7-11600H/16GB/512GB SSD/RTX 3050 4GB"|24.0|1054.91|927.59|Laptop|https://www.neptun.mk/2024/02/20/NitroAN517-54_86c04149-2c7e-41e8-906d-748008289419.JPG
2|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Extensa-15-EX215-23-R6VX-R5-7520U-16GB-DDR5-512GB|LAPTOP ACER EXTENSA 15 EX215-23-R6VX R5-7520U/16GB DDR5/512GB|24.0|472.88|434.69|Laptop|https://www.neptun.mk/2024/02/08/Canvas1_37834864-d8c1-44a9-a19e-6dec765c1dca.JPG
3|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Extensa-15-EX215-23-R1YZ-R3-7320U-8GB-DDR5-512GB|LAPTOP ACER EXTENSA 15 EX215-23-R1YZ R3-7320U/8GB DDR5/512GB|24.0|418.32|354.66|Laptop|https://www.neptun.mk/2024/02/08/Canvas1_e637f342-2d1d-4c40-af98-0d61d09d4862.JPG
4|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-56G-38BQ-i3-1115G4-12GB-256GB-MX450-2GB|LAPTOP ACER ASPIRE 5 A515-56G-38BQ I3-1115G4/12GB/256GB/MX450 2GB|24.0|636.58|418.24|Laptop|https://www.neptun.mk/2023/03/29/A315-24P-R83E.JPG
5|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-57-56D3-i5-12450H-16GB-512GB|LAPTOP ACER ASPIRE 5 A515-57-56D3 I5-12450H/16GB/512GB|24.0|672.95|563.82|Laptop|https://www.neptun.mk/2023/10/04/Acer_fc74822b-24cc-4755-a456-e0523f16c732.JPG
6|https://www.neptun.mk/categories/gaming_laptopi/ACER-Aspire-5-A515-57G-7503-i7-1260P-16GB-512GB-RTX-2050-4GB|LAPTOP ACER ASPIRE 5 A515-57G -7503 I7-1260P/16GB/512GB/RTX 2050 4GB|24.0|1145.85|982.16|Laptop|https://www.neptun.mk/2023/04/10/%D0%B0515_1.JPG
7|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-57-70K5-i7-12650H-32GB-512GB|LAPTOP ACER ASPIRE 5 A515-57-70K5 I7-12650H/32GB/512GB|24.0|873.03|727.52|Laptop|https://www.neptun.mk/2023/10/04/Acer_cc6d4bf5-ef7b-40eb-8534-8fd005037b54.JPG
8|https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-5-A515-57-70RV-i7-12650H-16GB-512GB|LAPTOP ACER ASPIRE 5 A515-57-70RV I7-12650H/16GB/512GB|24.0|827.56|654.77|Laptop|https://www.neptun.mk/2023/10/04/Acer_fcb63de3-15a5-4522-8d95-e74b863e975a.JPG
9|https://www.neptun.mk/categories/gaming_laptopi/ACER-Aspire-5-A515-57G-50CS-i5-1240P-16GB-512GB-RTX-2050-4GB|LAPTOP ACER ASPIRE 5 A515-57G-50CS I5-1240P/16GB/512GB/RTX 2050 4GB|24.0|982.16|873.03|Laptop|https://www.neptun.mk/2023/04/10/aspire.JPG
10|https://www.neptun.mk/categories/gaming_laptopi/ACER-Aspire-7-A715-76G-50NJ-i5-12450H-8GB-512GB-RTX-2050-4GB|ACER ASPIRE 7 A715 76G 50NJ I5 12450H 8GB 512GB RTX 2050 4GB|24.0|818.46|727.52|Laptop|https://www.neptun.mk/2024/01/02/Acer_19ee5395-3f0c-4bfc-a535-bf23ad745c44.JPG
